State,Year,Month,Region,TotalHiredSeasonal,Mexican,HiredWorkers,Local,Intrastate,Interstate,TotalForeign
AL,1944,2.0,6.0,,,,,,,
AL,1949,4.0,6.0,,,321000.0,,,,
AL,1955,8.0,6.0,10047.0,0.0,,10047.0,0.0,0.0,0.0
AL,1969,6.0,6.0,10385.0,,,8855.0,505.0,1025.0,0.0
AL,1961,8.0,6.0,1000.0,0.0,,1000.0,0.0,0.0,0.0
AL,1957,11.0,6.0,4931.0,0.0,,4931.0,0.0,0.0,0.0
AL,1959,5.0,,,,,,,,
AL,1953,5.0,6.0,11119.0,0.0,,11039.0,40.0,40.0,
AL,1966,12.0,6.0,860.0,,,860.0,0.0,0.0,0.0
AL,1970,12.0,6.0,840.0,,,790.0,50.0,0.0,0.0
AL,1958,2.0,,,,,,,,
AL,1950,1.0,6.0,,,107000.0,,,,
AL,1948,7.0,6.0,,,196000.0,,,,
AL,1951,4.0,6.0,,,298000.0,,,,
AL,1964,12.0,6.0,,,,,,,
AL,1944,5.0,6.0,,,,,,,
AL,1959,9.0,6.0,23695.0,0.0,,23450.0,200.0,45.0,0.0
AL,1973,7.0,6.0,,,156000.0,6970.0,50.0,480.0,
AL,1943,7.0,6.0,,,279000.0,,,,
AL,1971,11.0,6.0,7325.0,,,7225.0,100.0,0.0,0.0
AL,1972,6.0,6.0,,,,8465.0,650.0,395.0,
AL,1953,11.0,6.0,,,,,,,
AL,1967,1.0,6.0,,,68000.0,,,,
AL,1970,9.0,6.0,9465.0,,,9255.0,60.0,150.0,0.0
AL,1970,8.0,6.0,,,,4785.0,0.0,530.0,
AL,1948,1.0,6.0,,,132000.0,,,,
AL,1969,3.0,6.0,,,,,,,
AL,1963,12.0,6.0,,,,,,,
AL,1969,4.0,6.0,,,80000.0,,,,
AL,1959,12.0,6.0,,,,,,,
AL,1947,9.0,6.0,,,,,,,
AL,1947,8.0,6.0,,,,,,,
AL,1960,9.0,6.0,27415.0,0.0,,26874.0,352.0,189.0,0.0
AL,1945,12.0,6.0,,,,,,,
AL,1951,7.0,6.0,,,389000.0,,,,
AL,1953,7.0,6.0,,,436000.0,,,,
AL,1950,10.0,6.0,,,800000.0,,,,
AL,1956,5.0,6.0,11463.0,0.0,,10598.0,0.0,575.0,0.0
AL,1943,9.0,6.0,,,,,,,
AL,1966,9.0,6.0,9805.0,,,9520.0,285.0,0.0,0.0
AL,1957,7.0,6.0,5891.0,0.0,262000.0,5200.0,175.0,201.0,0.0
AL,1958,10.0,6.0,15705.0,0.0,371000.0,15330.0,0.0,0.0,0.0
AL,1958,5.0,6.0,7130.0,0.0,,6565.0,300.0,100.0,0.0
AL,1961,7.0,6.0,9925.0,0.0,239000.0,9124.0,0.0,801.0,0.0
AL,1964,11.0,6.0,6150.0,0.0,,6014.0,100.0,36.0,0.0
AL,1944,9.0,6.0,,,,,,,
