State,Year,Month,Region,TotalHiredSeasonal,Mexican,HiredWorkers,Local,Intrastate,Interstate,TotalForeign
IA,1965,5.0,4.0,14142.0,0.0,,13975.0,0.0,167.0,0.0
IA,1972,2.0,4.0,,,,,,,
IA,1971,4.0,4.0,,,63000.0,,,,
IA,1945,6.0,4.0,,99.0,,,,,1246.0
IA,1973,6.0,4.0,,,,4744.0,0.0,150.0,
IA,1946,9.0,4.0,,236.0,,,,,236.0
IA,1963,5.0,4.0,7099.0,0.0,,6946.0,0.0,153.0,0.0
IA,1949,1.0,4.0,,,105000.0,,,,
IA,1944,6.0,4.0,,,,,,,
IA,1973,3.0,4.0,,,,,,,
IA,1944,8.0,4.0,,76.0,,,,,
IA,1962,8.0,4.0,8195.0,80.0,,7310.0,0.0,805.0,80.0
IA,1944,3.0,4.0,,,,,,,
IA,1970,3.0,,,,,,,,
IA,1970,2.0,,,,,,,,
IA,1973,5.0,4.0,,,,4579.0,0.0,138.0,
IA,1970,7.0,4.0,,,224000.0,17954.0,0.0,216.0,
IA,1969,1.0,4.0,,,47000.0,,,,
IA,1962,11.0,4.0,6050.0,0.0,,5956.0,0.0,94.0,0.0
IA,1968,4.0,4.0,,,68000.0,,,,
IA,1946,2.0,4.0,,,,,,,
IA,1966,2.0,4.0,,,,,,,
IA,1957,7.0,4.0,249.0,34.0,295000.0,215.0,0.0,0.0,34.0
IA,1960,1.0,4.0,,,79000.0,,,,
IA,1961,1.0,4.0,,,79000.0,,,,
IA,1953,5.0,4.0,415.0,35.0,,380.0,0.0,0.0,
IA,1972,5.0,4.0,,,,4288.0,0.0,145.0,
IA,1946,11.0,4.0,,153.0,,,,,153.0
IA,1964,8.0,4.0,11521.0,0.0,,10715.0,0.0,806.0,0.0
IA,1943,1.0,4.0,,,183000.0,,,,
IA,1962,1.0,4.0,,,71000.0,,,,
IA,1964,9.0,4.0,8900.0,0.0,,8185.0,0.0,715.0,0.0
IA,1973,8.0,,,,,,,,
IA,1957,1.0,4.0,,,91000.0,,,,
IA,1971,2.0,4.0,,,,,,,
IA,1966,12.0,4.0,725.0,,,725.0,0.0,0.0,0.0
IA,1960,9.0,4.0,2604.0,37.0,,1885.0,0.0,682.0,37.0
IA,1970,8.0,4.0,,,,3957.0,318.0,146.0,
IA,1966,9.0,4.0,4890.0,,,4277.0,0.0,613.0,0.0
IA,1966,10.0,4.0,5840.0,,179000.0,5421.0,0.0,419.0,0.0
IA,1959,6.0,4.0,,,,,,,
IA,1957,8.0,4.0,3990.0,30.0,,1474.0,15.0,451.0,30.0
IA,1965,4.0,4.0,,,70000.0,,,,
IA,1947,12.0,4.0,,,,,,,
IA,1969,8.0,4.0,,,,10011.0,486.0,268.0,
IA,1955,6.0,4.0,785.0,0.0,,277.0,7.0,75.0,140.0
IA,1961,6.0,4.0,8070.0,0.0,,7535.0,0.0,535.0,0.0
IA,1961,12.0,,,,,,,,
IA,1950,4.0,4.0,,,157000.0,,,,
IA,1964,5.0,4.0,10580.0,0.0,,10447.0,0.0,133.0,0.0
KS,1966,7.0,4.0,22500.0,0.0,294000.0,14500.0,3300.0,4700.0,0.0
KS,1953,6.0,4.0,13575.0,0.0,,6200.0,2025.0,5350.0,
KS,1965,9.0,4.0,13100.0,0.0,,10200.0,1400.0,1500.0,0.0
KS,1971,6.0,4.0,,,,7175.0,1670.0,1530.0,
KS,1946,9.0,4.0,,152.0,,,,,152.0
KS,1957,10.0,4.0,14300.0,0.0,296000.0,6300.0,6000.0,2000.0,0.0
KS,1968,5.0,4.0,,,,4550.0,1175.0,775.0,
KS,1959,9.0,4.0,27850.0,11.0,,13689.0,12175.0,1975.0,11.0
KS,1970,12.0,4.0,,,,,,,
KS,1947,2.0,4.0,,,,,,,
KS,1964,5.0,4.0,6000.0,98.0,,4502.0,800.0,600.0,98.0
KS,1961,2.0,,,,,,,,
KS,1942,1.0,4.0,,,253000.0,,,,
KS,1960,10.0,4.0,10215.0,17.0,127000.0,6858.0,2050.0,1290.0,17.0
KS,1959,10.0,4.0,18750.0,29.0,260000.0,11246.0,6550.0,925.0,29.0
KS,1949,1.0,4.0,,,105000.0,,,,
KS,1955,1.0,4.0,,,106000.0,,,,
KS,1966,12.0,4.0,,,,,,,
KS,1963,3.0,4.0,,,,,,,
KS,1963,10.0,4.0,12500.0,64.0,250000.0,9800.0,1450.0,1186.0,64.0
KS,1961,9.0,4.0,22500.0,12.0,,17388.0,2840.0,2260.0,12.0
KS,1945,4.0,4.0,,,177000.0,,,,
KS,1948,4.0,4.0,,,178000.0,,,,
KS,1974,10.0,4.0,,,,,,,
KS,1960,11.0,4.0,6200.0,0.0,,5550.0,525.0,125.0,0.0
KS,1947,12.0,4.0,,334.0,,,,,334.0
KS,1942,10.0,4.0,,,354000.0,,,,
KS,1945,5.0,4.0,,43.0,,,,,2689.0
KS,1956,5.0,4.0,6065.0,0.0,,4715.0,600.0,750.0,0.0
KS,1955,7.0,4.0,16450.0,0.0,311000.0,10300.0,1050.0,4900.0,0.0
KS,1965,12.0,4.0,,,,,,,
KS,1971,1.0,4.0,,,44000.0,,,,
KS,1975,1.0,4.0,,,,,,,
KS,1959,2.0,,,,,,,,
KS,1970,5.0,4.0,6555.0,,,5365.0,665.0,525.0,0.0
KS,1964,2.0,4.0,,,,,,,
KS,1962,2.0,,,,,,,,
KS,1962,11.0,4.0,4650.0,0.0,,2550.0,950.0,1150.0,0.0
KS,1945,11.0,4.0,,235.0,,,,,744.0
KS,1969,7.0,4.0,,,188000.0,10700.0,2150.0,2200.0,
KS,1973,9.0,,,,,,,,
KS,1970,11.0,4.0,5500.0,,,4305.0,715.0,480.0,0.0
KS,1943,8.0,4.0,,,,,,,
KS,1968,9.0,4.0,,,,6500.0,850.0,825.0,
KS,1956,8.0,4.0,14550.0,0.0,,12200.0,1050.0,1300.0,0.0
KS,1953,11.0,4.0,,,,,,,
KS,1968,6.0,4.0,,,,8250.0,1250.0,2000.0,
KS,1943,6.0,4.0,,80.0,,,,,
KS,1956,10.0,4.0,10100.0,8.0,283000.0,8992.0,950.0,150.0,8.0
KS,1942,7.0,4.0,,,197000.0,,,,
KS,1947,9.0,4.0,,117.0,,,,,117.0
KS,1965,1.0,4.0,,,58000.0,,,,
KS,1970,2.0,,,,,,,,
KS,1966,3.0,4.0,,,,,,,
KS,1943,10.0,4.0,,50.0,324000.0,,,,
KS,1969,2.0,4.0,,,,,,,
KS,1973,11.0,,,,,,,,
KS,1959,6.0,4.0,19300.0,0.0,,7400.0,8500.0,3400.0,0.0
KS,1943,5.0,4.0,,,,,,,
KS,1945,7.0,4.0,,97.0,278000.0,,,,1930.0
KS,1952,1.0,4.0,,,94000.0,,,,
KS,1956,11.0,4.0,,,,,,,
KS,1957,1.0,4.0,,,91000.0,,,,
KS,1954,9.0,4.0,5000.0,0.0,,5000.0,0.0,0.0,0.0
KS,1959,3.0,,,,,,,,
KS,1959,12.0,4.0,,,,,,,
KS,1968,8.0,4.0,,,,7775.0,425.0,900.0,
KS,1970,9.0,4.0,7455.0,,,5900.0,910.0,645.0,0.0
KS,1963,1.0,4.0,,,78000.0,,,,
KS,1968,7.0,4.0,,,232000.0,9625.0,1500.0,1225.0,
KS,1963,7.0,4.0,25200.0,34.0,355000.0,19666.0,2400.0,3100.0,34.0
KS,1953,9.0,4.0,4500.0,0.0,,4300.0,0.0,200.0,0.0
KS,1954,1.0,4.0,,,104000.0,,,,
KS,1969,4.0,4.0,,,59000.0,3485.0,410.0,220.0,
KS,1971,8.0,4.0,10455.0,,,9110.0,825.0,520.0,0.0
KS,1957,4.0,4.0,,,105000.0,,,,
KS,1958,3.0,,,,,,,,
KS,1966,1.0,4.0,,,61000.0,,,,
KS,1951,10.0,4.0,,,328000.0,,,,
KS,1946,10.0,4.0,,316.0,260000.0,,,,316.0
KS,1956,6.0,4.0,13350.0,33.0,,9142.0,1075.0,2975.0,33.0
KS,1946,7.0,4.0,,212.0,314000.0,,,,212.0
KS,1945,6.0,4.0,,237.0,,,,,1804.0
KS,1946,2.0,4.0,,2.0,,,,,11.0
KS,1960,2.0,,,,,,,,
KS,1964,11.0,4.0,4400.0,0.0,,3550.0,500.0,350.0,0.0
KS,1954,10.0,4.0,9000.0,0.0,338000.0,8500.0,0.0,500.0,0.0
KS,1963,8.0,4.0,22700.0,75.0,,18900.0,1800.0,1925.0,75.0
KS,1969,5.0,4.0,6415.0,,,5150.0,660.0,605.0,0.0
KS,1973,7.0,4.0,,,243000.0,9970.0,3150.0,1845.0,
KS,1944,9.0,4.0,,230.0,,,,,
KS,1953,8.0,4.0,,,,,,,
KS,1958,2.0,,,,,,,,
KS,1965,11.0,4.0,5000.0,0.0,,3400.0,800.0,800.0,0.0
KS,1961,12.0,,,,,,,,
KS,1953,5.0,4.0,2000.0,0.0,,1700.0,0.0,300.0,
KS,1971,10.0,4.0,6895.0,,167000.0,5675.0,640.0,580.0,0.0
KS,1953,7.0,4.0,,,447000.0,,,,
KS,1961,3.0,,,,,,,,
KS,1944,11.0,4.0,,211.0,,,,,
KS,1958,9.0,4.0,27475.0,0.0,,11975.0,12500.0,3000.0,0.0
KS,1950,10.0,4.0,,,369000.0,,,,
KS,1946,3.0,4.0,,31.0,,,,,40.0
KS,1970,6.0,4.0,11315.0,,,7700.0,1850.0,1765.0,0.0
KS,1945,8.0,4.0,,,,,,,1907.0
KS,1966,8.0,4.0,16100.0,0.0,,10900.0,2100.0,3100.0,0.0
KS,1958,8.0,4.0,29000.0,0.0,,12500.0,13500.0,3000.0,0.0
KS,1950,1.0,4.0,,,102000.0,,,,
KS,1962,5.0,4.0,8800.0,30.0,,7150.0,980.0,640.0,30.0
KS,1963,6.0,4.0,22450.0,192.0,,14008.0,2875.0,5375.0,192.0
KS,1944,5.0,4.0,,,,,,,
KS,1945,3.0,4.0,,3.0,,,,,
KS,1958,5.0,4.0,6800.0,0.0,,4300.0,1800.0,700.0,0.0
KS,1962,10.0,4.0,12900.0,102.0,279000.0,8044.0,2330.0,2424.0,102.0
KS,1967,5.0,4.0,6950.0,,,4700.0,1250.0,1000.0,0.0
KS,1963,11.0,4.0,4200.0,0.0,,3300.0,550.0,350.0,0.0
KS,1973,4.0,4.0,3690.0,,71000.0,2980.0,500.0,210.0,0.0
KS,1963,9.0,4.0,18700.0,32.0,,15525.0,1700.0,1443.0,32.0
KS,1944,4.0,4.0,,,188000.0,,,,
KS,1951,4.0,4.0,,,141000.0,,,,
KS,1964,4.0,4.0,,,76000.0,,,,
KS,1946,11.0,4.0,,442.0,,,,,442.0
KS,1949,4.0,4.0,,,156000.0,,,,
KS,1947,6.0,4.0,,190.0,,,,,190.0
KS,1947,1.0,4.0,,1.0,177000.0,,,,1.0
KS,1947,7.0,4.0,,96.0,295000.0,,,,96.0
KS,1944,3.0,4.0,,,,,,,
KS,1963,12.0,4.0,,,,,,,
KS,1943,4.0,4.0,,,219000.0,,,,
KS,1974,7.0,4.0,,,,,,,
KS,1969,11.0,4.0,5545.0,,,4645.0,475.0,425.0,0.0
KS,1958,12.0,4.0,,,,,,,
KS,1970,1.0,4.0,,,45000.0,,,,
KS,1945,1.0,4.0,,10.0,164000.0,,,,
KS,1955,4.0,4.0,,,108000.0,,,,
KS,1972,5.0,4.0,,,,5225.0,740.0,530.0,
KS,1958,6.0,4.0,27400.0,64.0,,11736.0,12500.0,2800.0,64.0
KS,1973,1.0,4.0,,,54000.0,,,,
KS,1964,3.0,4.0,,,,,,,
KS,1953,1.0,4.0,,,90000.0,,,,
KS,1964,1.0,4.0,,,61000.0,,,,
KS,1974,4.0,4.0,,,,,,,
KS,1945,9.0,4.0,,114.0,,,,,2538.0
KS,1959,7.0,4.0,35210.0,10.0,355000.0,16300.0,14350.0,4550.0,10.0
KS,1943,1.0,4.0,,,183000.0,,,,
KS,1948,7.0,4.0,,,304000.0,,,,
KS,1957,7.0,4.0,20000.0,0.0,295000.0,9700.0,9000.0,1000.0,0.0
KS,1971,12.0,4.0,,,,,,,
KS,1965,4.0,4.0,,,70000.0,,,,
KS,1965,3.0,4.0,,,,,,,
KS,1957,12.0,,,,,,,,
KS,1950,4.0,4.0,,,157000.0,,,,
KS,1950,7.0,4.0,,,447000.0,,,,
KS,1958,4.0,4.0,,,112000.0,,,,
KS,1960,12.0,,,,,,,,
KS,1952,10.0,4.0,,,322000.0,,,,
KS,1946,1.0,4.0,,4.0,133000.0,,,,13.0
KS,1966,2.0,4.0,,,,,,,
KS,1959,1.0,4.0,,,88000.0,,,,
KS,1942,4.0,4.0,,,243000.0,,,,
KS,1969,9.0,4.0,7840.0,,,6440.0,880.0,520.0,0.0
KS,1967,10.0,4.0,8825.0,,164000.0,7250.0,900.0,675.0,0.0
KS,1944,6.0,4.0,,298.0,,,,,
KS,1973,10.0,4.0,,,154000.0,,,,
KS,1966,6.0,4.0,18400.0,0.0,,13000.0,1900.0,3500.0,0.0
KS,1945,10.0,4.0,,302.0,235000.0,,,,2802.0
KS,1961,4.0,4.0,,,105000.0,,,,
KS,1965,5.0,4.0,8100.0,0.0,,6100.0,1000.0,1000.0,0.0
KS,1967,12.0,,,,,,,,
KS,1968,10.0,4.0,7550.0,,163000.0,5875.0,925.0,750.0,0.0
KS,1955,6.0,4.0,12825.0,0.0,,9275.0,1025.0,2400.0,0.0
KS,1961,10.0,4.0,11510.0,104.0,243000.0,8006.0,1525.0,1875.0,104.0
KS,1959,11.0,4.0,7452.0,2.0,,5900.0,1250.0,300.0,2.0
KS,1962,8.0,4.0,23500.0,85.0,,16200.0,3820.0,3395.0,85.0
KS,1972,9.0,4.0,8295.0,,,6730.0,915.0,650.0,0.0
KS,1968,2.0,4.0,,,,,,,
KS,1949,10.0,4.0,,,241000.0,,,,
KS,1954,6.0,4.0,10400.0,0.0,,6825.0,500.0,3000.0,0.0
KS,1972,6.0,4.0,,,,7885.0,1960.0,1355.0,
KS,1962,3.0,,,,,,,,
KS,1967,7.0,4.0,14950.0,,208000.0,9725.0,2225.0,3000.0,0.0
KS,1969,8.0,4.0,,,,8445.0,990.0,950.0,
KS,1960,6.0,4.0,17000.0,18.0,,10482.0,3900.0,2600.0,18.0
KS,1972,1.0,4.0,,,54000.0,,,,
KS,1964,8.0,4.0,22700.0,0.0,,15200.0,3200.0,4300.0,0.0
KS,1969,12.0,4.0,,,,,,,
KS,1972,8.0,4.0,,,,9770.0,985.0,615.0,
KS,1971,5.0,4.0,,,,5260.0,765.0,480.0,
KS,1943,11.0,4.0,,52.0,,,,,
KS,1964,10.0,4.0,10900.0,0.0,197000.0,8825.0,1300.0,775.0,0.0
KS,1973,8.0,,,,,,,,
KS,1967,3.0,4.0,,,,,,,
KS,1958,10.0,4.0,16500.0,0.0,313000.0,9500.0,5500.0,1500.0,0.0
KS,1945,2.0,4.0,,3.0,,,,,
KS,1960,8.0,4.0,29500.0,12.0,,21188.0,4150.0,4150.0,12.0
KS,1965,10.0,4.0,10800.0,0.0,176000.0,8025.0,1300.0,1475.0,0.0
KS,1956,4.0,4.0,,,112000.0,,,,
KS,1973,2.0,4.0,,,,,,,
KS,1965,2.0,4.0,,,,,,,
KS,1944,7.0,4.0,,297.0,328000.0,,,,
KS,1968,4.0,4.0,,,68000.0,3200.0,500.0,100.0,
KS,1967,9.0,4.0,8500.0,,,6850.0,1125.0,525.0,0.0
KS,1958,11.0,4.0,6250.0,0.0,,5000.0,1000.0,250.0,0.0
KS,1961,11.0,4.0,7500.0,2.0,,6798.0,600.0,100.0,2.0
KS,1971,9.0,4.0,8200.0,,,6685.0,890.0,625.0,0.0
KS,1964,7.0,4.0,26500.0,64.0,316000.0,17936.0,3400.0,5100.0,64.0
KS,1973,3.0,4.0,,,,,,,
KS,1967,6.0,4.0,13800.0,,,9675.0,1475.0,2650.0,0.0
KS,1966,4.0,4.0,,,78000.0,,,,
KS,1944,12.0,4.0,,10.0,,,,,
KS,1951,1.0,4.0,,,103000.0,,,,
KS,1960,3.0,,,,,,,,
KS,1948,10.0,4.0,,,304000.0,,,,
KS,1966,5.0,4.0,8300.0,0.0,,6300.0,1100.0,900.0,0.0
KS,1967,4.0,4.0,3875.0,,86000.0,3120.0,510.0,245.0,0.0
KS,1954,8.0,4.0,4000.0,0.0,,4000.0,0.0,0.0,0.0
KS,1956,1.0,4.0,,,102000.0,,,,
KS,1960,9.0,4.0,29100.0,16.0,,16284.0,8000.0,4800.0,16.0
KS,1965,6.0,4.0,16500.0,0.0,,11100.0,1900.0,3500.0,0.0
KS,1970,10.0,4.0,6805.0,,141000.0,5465.0,755.0,585.0,0.0
KS,1943,9.0,4.0,,,,,,,
KS,1946,4.0,4.0,,137.0,172000.0,,,,146.0
KS,1972,3.0,4.0,,,,,,,
KS,1957,8.0,4.0,20950.0,0.0,,9050.0,8750.0,3150.0,0.0
KS,1967,8.0,4.0,10325.0,,,8700.0,750.0,875.0,0.0
KS,1951,7.0,4.0,,,355000.0,,,,
KS,1962,6.0,4.0,23900.0,95.0,,15305.0,2900.0,5600.0,95.0
KS,1956,9.0,4.0,7900.0,45.0,,7055.0,650.0,150.0,45.0
KS,1966,9.0,4.0,9100.0,,,6200.0,1500.0,1400.0,0.0
KS,1956,7.0,4.0,12150.0,0.0,290000.0,9350.0,550.0,2100.0,0.0
KS,1961,5.0,4.0,9100.0,0.0,,7550.0,830.0,720.0,0.0
KS,1968,11.0,4.0,4575.0,,,3925.0,450.0,200.0,0.0
KS,1949,7.0,4.0,,,446000.0,,,,
KS,1963,2.0,4.0,,,,,,,
KS,1945,12.0,4.0,,3.0,,,,,82.0
KS,1969,6.0,4.0,10870.0,,,7835.0,1525.0,1510.0,0.0
KS,1948,1.0,4.0,,,171000.0,,,,
KS,1959,5.0,,,,,,,,
KS,1961,7.0,4.0,28450.0,20.0,377000.0,15105.0,5600.0,7725.0,20.0
KS,1964,6.0,4.0,17600.0,268.0,,10582.0,1900.0,4850.0,268.0
KS,1944,2.0,4.0,,,,,,,
KS,1968,1.0,4.0,,,51000.0,,,,
KS,1954,11.0,4.0,,,,,,,
KS,1962,4.0,4.0,,,102000.0,,,,
KS,1955,11.0,4.0,,,,,,,
KS,1972,11.0,4.0,5195.0,,,4155.0,695.0,345.0,0.0
KS,1963,5.0,4.0,7900.0,86.0,,5164.0,1250.0,1400.0,86.0
KS,1966,11.0,4.0,4825.0,,,3625.0,700.0,500.0,0.0
KS,1958,7.0,4.0,35000.0,14.0,300000.0,12986.0,16200.0,5000.0,14.0
KS,1972,7.0,4.0,,,240000.0,11575.0,1670.0,1125.0,
KS,1955,5.0,4.0,4950.0,0.0,,3725.0,525.0,700.0,0.0
KS,1955,9.0,4.0,8950.0,0.0,,6950.0,500.0,1500.0,0.0
KS,1973,6.0,4.0,,,,7015.0,1470.0,1205.0,
KS,1943,12.0,4.0,,,,,,,
KS,1947,8.0,4.0,,96.0,,,,,96.0
KS,1959,8.0,4.0,30661.0,11.0,,15650.0,12950.0,2050.0,11.0
KS,1970,4.0,4.0,,,61000.0,3195.0,400.0,180.0,
KS,1954,4.0,4.0,,,128000.0,,,,
KS,1966,10.0,4.0,9700.0,,179000.0,7600.0,1100.0,1000.0,0.0
KS,1961,6.0,4.0,15775.0,54.0,,11346.0,2435.0,1940.0,54.0
KS,1960,7.0,4.0,37843.0,18.0,363000.0,18725.0,11000.0,8100.0,18.0
KS,1972,12.0,4.0,,,,,,,
KS,1957,9.0,4.0,17400.0,0.0,,7250.0,6200.0,3950.0,0.0
KS,1968,3.0,4.0,,,,,,,
KS,1957,6.0,4.0,8200.0,95.0,,5725.0,1050.0,1305.0,95.0
KS,1973,12.0,,,,,,,,
KS,1952,4.0,4.0,,,135000.0,,,,
KS,1962,9.0,4.0,20400.0,59.0,,13991.0,3500.0,2850.0,59.0
KS,1960,1.0,4.0,,,79000.0,,,,
KS,1969,1.0,4.0,,,47000.0,,,,
KS,1974,1.0,4.0,,,51000.0,,,,
KS,1965,8.0,4.0,22300.0,0.0,,15550.0,3000.0,3750.0,0.0
KS,1969,10.0,4.0,7245.0,,150000.0,5785.0,930.0,530.0,0.0
KS,1967,11.0,,,,,,,,
KS,1967,2.0,4.0,,,,,,,
KS,1971,11.0,4.0,5090.0,,,4180.0,560.0,350.0,0.0
KS,1960,5.0,4.0,9550.0,4.0,,7071.0,1750.0,725.0,4.0
KS,1955,10.0,4.0,11000.0,0.0,251000.0,9500.0,500.0,1000.0,0.0
KS,1953,4.0,4.0,,,131000.0,,,,
KS,1961,1.0,4.0,,,79000.0,,,,
KS,1944,1.0,4.0,,,183000.0,,,,
KS,1957,5.0,4.0,3800.0,0.0,,3100.0,450.0,250.0,0.0
KS,1971,7.0,4.0,,,245000.0,14200.0,1320.0,1160.0,
KS,1972,4.0,4.0,,,70000.0,,,,
KS,1962,1.0,4.0,,,71000.0,,,,
KS,1946,12.0,4.0,,25.0,,,,,25.0
KS,1958,1.0,4.0,,,109000.0,,,,
KS,1971,4.0,4.0,,,63000.0,3060.0,475.0,225.0,
KS,1954,5.0,4.0,3500.0,0.0,,2725.0,25.0,750.0,0.0
KS,1973,5.0,4.0,,,,5130.0,875.0,475.0,
KS,1964,12.0,4.0,,,,,,,
KS,1955,8.0,4.0,14500.0,0.0,,10000.0,1000.0,3500.0,0.0
KS,1944,8.0,4.0,,182.0,,,,,
KS,1972,2.0,4.0,,,,,,,
KS,1971,3.0,4.0,,,,,,,
KS,1960,4.0,4.0,,,101000.0,,,,
KS,1947,5.0,4.0,,338.0,,,,,338.0
KS,1967,1.0,4.0,,,60000.0,,,,
KS,1970,3.0,,,,,,,,
KS,1970,8.0,4.0,,,,8165.0,820.0,820.0,
KS,1946,8.0,4.0,,136.0,,,,,136.0
KS,1947,11.0,4.0,,317.0,,,,,317.0
KS,1953,10.0,4.0,,,329000.0,,,,
KS,1962,7.0,4.0,24250.0,100.0,377000.0,15080.0,3675.0,5395.0,100.0
KS,1972,10.0,4.0,7275.0,,152000.0,5960.0,775.0,540.0,0.0
KS,1946,5.0,4.0,,331.0,,,,,331.0
KS,1961,8.0,4.0,21800.0,12.0,,16688.0,2640.0,2460.0,12.0
KS,1970,7.0,4.0,,,224000.0,9465.0,1910.0,1385.0,
KS,1965,7.0,4.0,29500.0,0.0,308000.0,19400.0,4300.0,5800.0,0.0
KS,1959,4.0,4.0,,,124000.0,,,,
KS,1943,7.0,4.0,,67.0,358000.0,,,,
KS,1964,9.0,4.0,17000.0,0.0,,13200.0,1800.0,2000.0,0.0
KS,1954,7.0,4.0,5500.0,0.0,367000.0,2475.0,525.0,2300.0,0.0
KS,1968,12.0,4.0,,,,,,,
KS,1962,12.0,4.0,,,,,,,
KS,1963,4.0,4.0,,,98000.0,,,,
KS,1969,3.0,4.0,,,,,,,
KS,1947,4.0,4.0,,,178000.0,,,,
KS,1957,11.0,4.0,7500.0,0.0,,4000.0,2750.0,750.0,0.0
KS,1947,3.0,4.0,,,,,,,
KS,1952,7.0,4.0,,,397000.0,,,,
KS,1946,6.0,4.0,,379.0,,,,,379.0
KS,1944,10.0,4.0,,304.0,323000.0,,,,
KS,1947,10.0,4.0,,208.0,314000.0,,,,208.0
KS,1971,2.0,4.0,,,,,,,
KY,1959,3.0,,,,,,,,
KY,1954,9.0,6.0,,,,,,,
KY,1960,12.0,,,,,,,,
KY,1943,8.0,6.0,,,,,,,
KY,1944,4.0,6.0,,,183000.0,,,,
KY,1970,8.0,6.0,,,,13753.0,470.0,30.0,
KY,1967,3.0,6.0,,,,,,,
KY,1971,11.0,6.0,12834.0,,,12734.0,100.0,0.0,0.0
KY,1968,9.0,6.0,,,,21627.0,0.0,0.0,
KY,1972,10.0,6.0,18492.0,,142000.0,18392.0,100.0,0.0,0.0
KY,1967,12.0,,,,,,,,
KY,1975,1.0,6.0,,,,,,,
KY,1962,12.0,6.0,,,,,,,
KY,1963,12.0,6.0,,,,,,,
KY,1943,5.0,6.0,,,,,,,
KY,1956,7.0,6.0,7000.0,0.0,262000.0,7000.0,0.0,0.0,0.0
KY,1954,5.0,6.0,11950.0,0.0,,11175.0,75.0,350.0,0.0
KY,1969,6.0,6.0,21565.0,,,20712.0,300.0,553.0,0.0
KY,1944,8.0,6.0,,,,,,,
KY,1946,8.0,6.0,,,,,,,
KY,1969,9.0,6.0,24323.0,,,23923.0,400.0,50.0,0.0
KY,1966,9.0,6.0,25096.0,,,24671.0,400.0,25.0,0.0
KY,1966,2.0,6.0,,,,,,,
KY,1958,5.0,6.0,,,,,,,
KY,1957,1.0,6.0,,,108000.0,,,,
KY,1968,10.0,6.0,12830.0,,180000.0,12780.0,50.0,0.0,0.0
KY,1947,5.0,6.0,,,,,,,
KY,1953,5.0,6.0,3850.0,0.0,,3700.0,0.0,150.0,
KY,1970,12.0,6.0,,,,,,,
KY,1951,1.0,6.0,,,99000.0,,,,
KY,1964,4.0,6.0,,,123000.0,,,,
KY,1973,3.0,6.0,,,,,,,
KY,1969,11.0,6.0,14390.0,,,14265.0,125.0,0.0,0.0
KY,1954,4.0,6.0,,,169000.0,,,,
KY,1960,4.0,6.0,,,115000.0,,,,
KY,1966,12.0,6.0,,,,,,,
KY,1963,2.0,6.0,,,,,,,
KY,1960,6.0,6.0,18500.0,90.0,,18215.0,100.0,95.0,90.0
KY,1962,8.0,6.0,9485.0,0.0,,9305.0,100.0,80.0,0.0
KY,1958,3.0,,,,,,,,
KY,1947,10.0,6.0,,,331000.0,,,,
KY,1972,6.0,6.0,,,,17517.0,110.0,150.0,
KY,1961,5.0,6.0,4542.0,0.0,,4094.0,88.0,360.0,0.0
KY,1960,9.0,6.0,29910.0,0.0,,27080.0,1730.0,1100.0,0.0
KY,1960,11.0,6.0,1500.0,18.0,,1482.0,0.0,0.0,18.0
KY,1950,10.0,6.0,,,800000.0,,,,
KY,1945,1.0,6.0,,,159000.0,,,,
KY,1972,3.0,6.0,,,,,,,
KY,1957,4.0,6.0,,,142000.0,,,,
KY,1955,11.0,6.0,,,,,,,
KY,1947,9.0,6.0,,,,,,,
KY,1947,7.0,6.0,,,207000.0,,,,
KY,1943,7.0,6.0,,,279000.0,,,,
KY,1953,11.0,6.0,300.0,73.0,,227.0,0.0,0.0,73.0
KY,1958,1.0,6.0,,,101000.0,,,,
KY,1949,7.0,6.0,,,399000.0,,,,
KY,1958,12.0,6.0,,,,,,,
KY,1950,1.0,6.0,,,107000.0,,,,
KY,1970,1.0,6.0,,,39000.0,,,,
KY,1961,1.0,6.0,,,66000.0,,,,
KY,1969,5.0,6.0,7694.0,,,6983.0,200.0,511.0,0.0
KY,1947,4.0,6.0,,,150000.0,,,,
KY,1971,10.0,6.0,16052.0,,156000.0,15902.0,150.0,0.0,0.0
KY,1962,11.0,6.0,,,,,,,
KY,1946,12.0,6.0,,,,,,,
KY,1945,5.0,6.0,,,,,,,185.0
KY,1952,7.0,6.0,,,379000.0,,,,
KY,1955,10.0,6.0,,,429000.0,,,,
KY,1947,11.0,6.0,,,,,,,
KY,1945,6.0,6.0,,,,,,,715.0
KY,1970,6.0,6.0,15071.0,,,14771.0,0.0,300.0,0.0
KY,1953,8.0,6.0,16750.0,0.0,,15750.0,1000.0,0.0,0.0
KY,1970,7.0,6.0,,,158000.0,15482.0,0.0,0.0,
KY,1973,10.0,6.0,,,126000.0,,,,
KY,1962,1.0,6.0,,,69000.0,,,,
KY,1965,11.0,6.0,,,,,,,
KY,1953,7.0,6.0,,,436000.0,,,,
KY,1943,12.0,6.0,,,,,,,
KY,1946,5.0,6.0,,,,,,,
KY,1944,1.0,6.0,,,130000.0,,,,
KY,1958,6.0,6.0,14150.0,0.0,,13850.0,0.0,300.0,0.0
KY,1957,8.0,6.0,10500.0,0.0,,10500.0,0.0,0.0,0.0
KY,1953,4.0,6.0,,,345000.0,,,,
KY,1971,12.0,6.0,,,,,,,
